Callee Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.slf4j:slf4j-log4j12:1.7.9	org.apache.log4j.Level::INFO	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	true	public	log4j:log4j:1.2.17	false	6
log4j:log4j:1.2.17	org.apache.log4j.spi.LoggingEvent::timeStamp	org.apache.log4j.spi.LoggingEvent	org.apache.log4j.spi.LoggingEvent	long	false	public	org.apache.logging.log4j:log4j-1.2-api:2.10.0	false	359
org.hibernate:hibernate-core:5.1.0.Final	org.jboss.logging.Logger$Level::INFO	org.jboss.logging.Logger$Level	org.jboss.logging.Logger$Level	org.jboss.logging.Logger$Level	true	public	org.jboss.logging:jboss-logging:3.3.0.Final	false	142
org.springframework:spring-orm:4.3.20.RELEASE	org.hibernate.FlushMode::AUTO	org.hibernate.FlushMode	org.hibernate.FlushMode	org.hibernate.FlushMode	true	public	org.hibernate:hibernate-core:5.1.0.Final	false	1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.0	com.fasterxml.jackson.core.format.MatchStrength::FULL_MATCH	com.fasterxml.jackson.core.format.MatchStrength	com.fasterxml.jackson.core.format.MatchStrength	com.fasterxml.jackson.core.format.MatchStrength	true	public	com.fasterxml.jackson.core:jackson-core:2.10.0	false	1
com.fasterxml.jackson.core:jackson-databind:2.10.0	com.fasterxml.jackson.annotation.JsonTypeInfo$As::EXTERNAL_PROPERTY	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	true	public	com.fasterxml.jackson.core:jackson-annotations:2.10.0	false	1
org.apache.logging.log4j:log4j-core:2.13.2	org.apache.logging.log4j.Level::DEBUG	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	true	public	org.apache.logging.log4j:log4j-api:2.13.2	false	6
org.apache.logging.log4j:log4j-core:2.13.2	org.apache.logging.log4j.Level::WARN	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	true	public	org.apache.logging.log4j:log4j-api:2.13.2	false	3
com.fasterxml.jackson.core:jackson-databind:2.10.0	com.fasterxml.jackson.annotation.JsonTypeInfo$As::WRAPPER_ARRAY	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	true	public	com.fasterxml.jackson.core:jackson-annotations:2.10.0	false	2
org.apache.logging.log4j:log4j-core:2.13.2	com.lmax.disruptor.dsl.ProducerType::MULTI	com.lmax.disruptor.dsl.ProducerType	com.lmax.disruptor.dsl.ProducerType	com.lmax.disruptor.dsl.ProducerType	true	public	com.lmax:disruptor:3.3.6	false	1
org.hibernate.common:hibernate-commons-annotations:5.0.1.Final	org.jboss.logging.Logger$Level::ERROR	org.jboss.logging.Logger$Level	org.jboss.logging.Logger$Level	org.jboss.logging.Logger$Level	true	public	org.jboss.logging:jboss-logging:3.3.0.Final	false	1
org.hibernate:hibernate-core:5.1.0.Final	org.hibernate.annotations.common.util.StandardClassLoaderDelegateImpl::INSTANCE	org.hibernate.annotations.common.util.StandardClassLoaderDelegateImpl	org.hibernate.annotations.common.util.StandardClassLoaderDelegateImpl	org.hibernate.annotations.common.util.StandardClassLoaderDelegateImpl	true	public	org.hibernate.common:hibernate-commons-annotations:5.0.1.Final	false	1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.0	com.fasterxml.jackson.core.format.MatchStrength::NO_MATCH	com.fasterxml.jackson.core.format.MatchStrength	com.fasterxml.jackson.core.format.MatchStrength	com.fasterxml.jackson.core.format.MatchStrength	true	public	com.fasterxml.jackson.core:jackson-core:2.10.0	false	2
org.apache.logging.log4j:log4j-core:2.13.2	org.apache.logging.log4j.util.Constants::JAVA_MAJOR_VERSION	org.apache.logging.log4j.util.Constants	org.apache.logging.log4j.util.Constants	int	true	public	org.apache.logging.log4j:log4j-api:2.13.2	false	1
org.springframework:spring:2.5.6.SEC03	org.springframework.jmx.support.RegistrationPolicy::FAIL_ON_EXISTING	org.springframework.jmx.support.RegistrationPolicy	org.springframework.jmx.support.RegistrationPolicy	org.springframework.jmx.support.RegistrationPolicy	true	public	org.springframework:spring-context:4.3.20.RELEASE	false	1
org.jboss.logging:jboss-logging:3.3.0.Final	org.apache.logging.log4j.Level::ERROR	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	true	public	org.apache.logging.log4j:log4j-api:2.13.2	false	1
org.apache.logging.log4j:log4j-core:2.13.2	org.apache.logging.log4j.Level::OFF	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	org.apache.logging.log4j.Level	true	public	org.apache.logging.log4j:log4j-api:2.13.2	false	2
com.fasterxml.jackson.core:jackson-databind:2.10.0	com.fasterxml.jackson.core.JsonToken::VALUE_EMBEDDED_OBJECT	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.10.0	false	1
