Callee Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.codehaus.groovy:groovy:3.0.8	java.lang.Class::JACKSON_1	io.restassured.path.json.config.JsonParserType	java.lang.Class	io.restassured.path.json.config.JsonParserType	true	public	io.rest-assured:json-path:4.4.0	true	8
org.eclipse:yasson:1.0.6	javax.json.JsonValue::TRUE	javax.json.JsonValue	javax.json.JsonValue	javax.json.JsonValue	true	public	jakarta.json:jakarta.json-api:1.1.6	false	1
org.codehaus.groovy:groovy:3.0.8	java.lang.Class::JACKSON_2	io.restassured.path.json.config.JsonParserType	java.lang.Class	io.restassured.path.json.config.JsonParserType	true	public	io.rest-assured:json-path:4.4.0	true	10
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.annotation.JsonProperty$Access::AUTO	com.fasterxml.jackson.annotation.JsonProperty$Access	com.fasterxml.jackson.annotation.JsonProperty$Access	com.fasterxml.jackson.annotation.JsonProperty$Access	true	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	false	4
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.JsonParser$NumberType::INT	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	true	public	com.fasterxml.jackson.core:jackson-core:2.11.1	false	10
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.annotation.JsonFormat$Shape::ARRAY	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	true	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	false	4
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.annotation.JsonInclude$Include::NON_DEFAULT	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	true	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	false	1
org.codehaus.jackson:jackson-mapper-asl:1.9.11	org.codehaus.jackson.JsonEncoding::UTF8	org.codehaus.jackson.JsonEncoding	org.codehaus.jackson.JsonEncoding	org.codehaus.jackson.JsonEncoding	true	public	org.codehaus.jackson:jackson-core-asl:1.9.11	false	6
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.annotation.JsonTypeInfo$As::WRAPPER_ARRAY	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	true	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	false	2
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion::PAYLOAD_PROPERTY	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion	com.fasterxml.jackson.core.type.WritableTypeId$Inclusion	true	public	com.fasterxml.jackson.core:jackson-core:2.11.1	false	1
org.eclipse:yasson:1.0.6	javax.json.stream.JsonParser$Event::VALUE_TRUE	javax.json.stream.JsonParser$Event	javax.json.stream.JsonParser$Event	javax.json.stream.JsonParser$Event	true	public	jakarta.json:jakarta.json-api:1.1.6	false	1
org.eclipse:yasson:1.0.6	javax.json.JsonValue::NULL	javax.json.JsonValue	javax.json.JsonValue	javax.json.JsonValue	true	public	jakarta.json:jakarta.json-api:1.1.6	false	1
